code|name|sec|day|time|room|lecturer
851789|Selected Topics หัวข้อเลือกสรร|801|Su|1430-1630 - -|MCB 2402|ปิยะพงษ์ อิงไธสง Co-Instruc จิรเวทย์ รักชาติ
128434|Local Public Finance การคลังท้องถิ่น|001|MTh|0930-1100 - -|PSB 1207|ไกรวุฒิ ใจคำปัน
004475|Buddhism and Thai Society พุทธศาสนากับสังคมไทย|001|MTh|1430-1600 - -|TBA|ธัญญารัตน์ อภิวงค์
751102|Principles of Macroeconomics หลักเศรษฐศาสตร์มหภาค|001|MTh|0930-1100 - -|ECB.1406|มยุลา ไชยคำบัง
751102|Principles of Macroeconomics หลักเศรษฐศาสตร์มหภาค|002|TBA|000-000 - -|TBA|คณาจารย์
751102|Principles of Macroeconomics หลักเศรษฐศาสตร์มหภาค|701|TuF|1430-1600 - -|TBA|WUCAIHONG HUANG
705413|Application of Strategic Marketing การประยุกต์การตลาดเชิงกลยุทธ์|001|Th|0930-1230 - -|BAB1314|ธิดารัตน์ สร้อยแก้ว Co-Instruc นฤมล กิมภากรณ์
705413|Application of Strategic Marketing การประยุกต์การตลาดเชิงกลยุทธ์|002|Th|0930-1230 - -|BAB1314|นฤมล กิมภากรณ์ Co-Instruc ธิดารัตน์ สร้อยแก้ว
705413|Application of Strategic Marketing การประยุกต์การตลาดเชิงกลยุทธ์|801|Th|1630-1930 - -|BAB1344|ธิดารัตน์ สร้อยแก้ว Co-Instruc นฤมล กิมภากรณ์
705413|Application of Strategic Marketing การประยุกต์การตลาดเชิงกลยุทธ์|802|Th|1630-1930 - -|BAB1344|นฤมล กิมภากรณ์ Co-Instruc ธิดารัตน์ สร้อยแก้ว
013436|Mindfulness for Life and Work สติเพื่อชีวิตและการทำงาน|001|TuF|0930-1100 - -|HB7501|ฉัตรวิบูลย์ ไพจ์เซล
705702|Essentials of Economics, Finance, and Accounting for Marketing Decisions หลักสำคัญด้านเศรษฐศาสตร์ การเงิน และการบัญชีเพื่อการตัดสินใจทางการตลาด|803|Sa|0900-1600 - -|BAB2302|เอื้อบุญ เอกะสิงห์ Co-Instruc ชัยวุฒิ ตั้งสมชัย วรัทยา แจ้งกระจ่าง นฤนาถ ศราภัยวานิช
701202|Intermediate Accounting 2 การบัญชีขั้นกลาง 2|001|TuF|0930-1100 - -|BAB 1323|ภูริทัต อินยา
701202|Intermediate Accounting 2 การบัญชีขั้นกลาง 2|002|MTh|0930-1100 - -|BAB 1323|ปิติมา ดิศกุลเนติวิทย์
701202|Intermediate Accounting 2 การบัญชีขั้นกลาง 2 Teaching medium is in English/เรียนเป็นภาษาอังกฤษ|701|MTh|1100-1230 - -|ฺBAB 2301|ปิติมา ดิศกุลเนติวิทย์ Co-Instruc ภูริทัต อินยา ชานนท์ นาคอ้าย
701202|Intermediate Accounting 2 การบัญชีขั้นกลาง 2|801|Tu|1630-1930 - -|BAB 1222|ปิติมา ดิศกุลเนติวิทย์
701202|Intermediate Accounting 2 การบัญชีขั้นกลาง 2|802|Th|1630-1930 - -|BAB 1222|ภูริทัต อินยา
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|001|MTh|0930-1100 - -|บรรยาย 9|วิมลิน เหล่าศิริถาวร Co-Instruc พงษ์สวัสดิ์ เปรมเพ็ชร
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|002|MTh|1100-1230 - -|TBA|วิมลิน เหล่าศิริถาวร Co-Instruc พงษ์สวัสดิ์ เปรมเพ็ชร
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|003|MTh|1300-1430 - -|บรรยาย6|วิมลิน เหล่าศิริถาวร Co-Instruc ณัฐธิดา เตชะบุญ
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|004|TuF|1300-1430 - -|บรรยาย 6|รุ่งฉัตร ชมภูอินไหว Co-Instruc สาลินี สันติธีรากุล
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|005|TuF|1430-1600 - -|บรรยาย 6|รุ่งฉัตร ชมภูอินไหว Co-Instruc สาลินี สันติธีรากุล
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|006|TuF|1600-1730 - -|บรรยาย 6|รุ่งฉัตร ชมภูอินไหว Co-Instruc ณัฐธิดา เตชะบุญ
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม Teaching medium is in English/เรียนเป็นภาษาอังกฤษ|701|TuF|1430-1600 - -|720|โพธิ จ้าวไพศาล
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|801|MTh|0930-1100 - -|บรรยาย 9|วิมลิน เหล่าศิริถาวร Co-Instruc พงษ์สวัสดิ์ เปรมเพ็ชร
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|802|MTh|1100-1230 - -|TBA|วิมลิน เหล่าศิริถาวร Co-Instruc พงษ์สวัสดิ์ เปรมเพ็ชร
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|803|MTh|1300-1430 - -|บรรยาย6|วิมลิน เหล่าศิริถาวร Co-Instruc ณัฐธิดา เตชะบุญ
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|804|TuF|1300-1430 - -|บรรยาย 6|รุ่งฉัตร ชมภูอินไหว Co-Instruc สาลินี สันติธีรากุล
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|805|TuF|1430-1600 - -|บรรยาย 6|รุ่งฉัตร ชมภูอินไหว Co-Instruc สาลินี สันติธีรากุล
255230|Industrial Organization and Management องค์การและการจัดการงานอุตสาหกรรม|806|TuF|1600-1730 - -|บรรยาย 6|รุ่งฉัตร ชมภูอินไหว Co-Instruc ณัฐธิดา เตชะบุญ
751421|Economics of Investment เศรษฐศาสตร์การลงทุน|001|MTh|1100-1230 - -|ECB.3203|ชาติชาย เขียวงามดี
851762|Communication in Crisis Situations การสื่อสารในสถานการณ์วิกฤติ|801|Sa|1330-1630 - -|TBA|ปิยะพงษ์ อิงไธสง
